algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n),
31.2563181,7.8107119,15.6209469,0.0,16.83,5.73,7.2828921,2.04,
63.0748272,15.6213045,15.6213045,7.8086853,51.23,13.08,12.2405038,3.04,
144.1489458,32.3021412,31.2438011,7.8121424,114.63,23.43,17.5657843,4.04,
258.3184242,39.0533209,46.8622446,0.0,215.78,36.78,23.1644607,5.04,
402.3299217,70.8304644,46.864152,7.8094006,363.43,53.13,28.9810077,6.04,
593.6113596,78.106761,54.6751022,15.6215429,566.33,72.48,34.9787358,7.04,
878.8276911,109.3492508,70.2954531,7.8097582,833.23,94.83,41.1315686,8.04,
1226.2741327,124.9706745,81.5148354,15.6214237,1172.88,120.18,47.4200084,9.04,
1541.916728,164.0238762,86.4928961,7.8133345,1594.03,148.53,53.8289214,10.04,
2019.9571848,187.4560118,93.7279463,15.6189203,2105.43,179.88,60.3462176,11.04,
2508.7435246,226.5093327,109.3494892,15.6214237,2715.83,214.23,66.9620154,12.04,
3169.626832,257.7519417,117.1598434,15.6209469,3433.98,251.58,73.6680862,13.04,
3899.210453,312.4264479,124.972105,15.6213045,4268.63,291.93,80.4574717,14.04,
4625.3087521,335.8587027,132.7786446,23.4336853,5228.53,335.28,87.3242103,15.04,
5598.326683,390.5467987,148.403883,15.6203508,6322.43,381.63,94.2631371,16.04,
6708.1038952,449.2014647,156.2132835,23.4314203,7559.08,430.98,101.2697344,17.04,
7935.4954958,488.2074594,168.0140495,23.432374,8947.23,483.33,108.3400168,18.04,
9188.5838509,555.5888414,179.6466112,23.4315395,10495.63,538.68,115.4704424,19.04,
10864.995718,624.8528957,187.4570847,23.4320164,12213.03,597.03,122.6578428,20.04,
