algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n),
29.4063091,9.4605684,14.960885,2.9927492,16.83,5.73,7.2828921,2.04,
76.2962103,21.4557648,25.429368,4.9859285,51.23,13.08,12.2405038,3.04,
148.4164,30.9171677,34.3960524,5.9864521,114.63,23.43,17.5657843,4.04,
258.1433058,47.3598242,43.8961983,6.9788694,215.78,36.78,23.1644607,5.04,
406.9126844,65.8373833,53.3601046,8.4770918,363.43,53.13,28.9810077,6.04,
609.2331409,86.2556696,65.3088093,10.9719038,566.33,72.48,34.9787358,7.04,
892.1480179,114.3153906,73.8228559,10.2572441,833.23,94.83,41.1315686,8.04,
1232.7398062,145.4882622,82.7870369,12.7339363,1172.88,120.18,47.4200084,9.04,
1673.4591722,172.3972559,95.6213474,13.9762163,1594.03,148.53,53.8289214,10.04,
2212.2938633,207.0134878,105.132103,14.9611235,2105.43,179.88,60.3462176,11.04,
2772.865057,248.5730648,115.690589,15.9564018,2715.83,214.23,66.9620154,12.04,
3384.8419189,288.9558077,125.6651878,16.9409513,3433.98,251.58,73.6680862,13.04,
4207.4174881,324.3845701,137.98666,20.4745531,4268.63,291.93,80.4574717,14.04,
5130.0853491,382.3690414,149.1348743,20.4461813,5228.53,335.28,87.3242103,15.04,
6165.4639244,422.318697,160.0581408,23.1636763,6322.43,381.63,94.2631371,16.04,
7325.4983425,467.9796696,169.2897081,21.9552517,7559.08,430.98,101.2697344,17.04,
8679.4662476,541.3820744,179.5045137,22.9389668,8947.23,483.33,108.3400168,18.04,
10135.1429224,607.4371338,192.5683022,25.2131224,10495.63,538.68,115.4704424,19.04,
11541.4193869,675.5834818,201.7439604,27.1655321,12213.03,597.03,122.6578428,20.04,
